Название,Рейтинг,Кол-во серий,Длительность (мин),Жанры,Дата релиза,Тип оригинала,Авторы,Описание,Ссылка
Крутой учитель Онидзука,9.2,43,25,"повседневность, комедия, драма",30.06.1999,манга,Такаги Ватару,"Эйкити Онидзука
(«22 года, холост», - как он сам любит представляться) - настоящий ужас на двух колесах, член нагоняющей ужас на горожан банды мотоциклистов, решает переквалифицироваться в… школьного учителя. Ведь в любом учебном заведении полным-полно аппетитных старшеклассниц в коротеньких юбочках! Но чем глубже примеривший необычную роль хулиган окунается в перипетии общего образования, тем сильнее он пытается переиначить место работы на свой манер - одерживая одну за другой победы над царящими в школе косностью, лицемерием, показухой и безразличием.
=================
Онидзука — экс-байкер и лидер банд, у которого есть одна цель: стать величайшим учителем. Он учится силе и уважении как учитель-стажер, используя свои связи, чтобы заставить учеников уважать его. Теперь, окончив школу, он получает работу в престижной частной школе, чтобы справиться с «проблемным классом», из-за которого несколько учителей ушли. Он должен справиться с различными неприятностями, в то время как их создают самые умные дети в Японии, которые предпочитают более рассудительный подход к пыткам своего учителя. Онидзука должен постепенно побеждать своих учеников и справляться с их недоверием к учителям, при этом сам не доверяя своим коллегам.
текст добавлен
lilia_dei
=================
Частная «Академия Священного Леса» впервые сталкивается с таким учителем как Эйкити Онидзука, а он, кажется, не очень-то хорошо знаком со своими непосредственными обязанностями и готов продемонстрировать на практике весьма радикальные педагогические методики.
текст добавлен
Marshal WA
В ролях:
Такаги Ватару
(озв.
Эйкити Онидзука
),
Орикаса Фумико
(озв.
Адзуса Фуюцуки
),
Нагасима Юйти
(озв.
Хироси Утиямада
),
Тиба Иссин
(озв.
Рюдзи Дамма
),
Нода Дзюнко
(озв.
Мияби Айдзава
),
Мидорикава Хикару
(озв.
Ёсито Кикути
),
Сэки Томокадзу
(озв.
Кунио Мурай
)... и еще
42 чел.",http://www.world-art.ru/animation/animation.php?id=311
Код Гиас: Восставший Лелуш (второй сезон),9.1,25,25,"приключения, фантастика, меха, драма",06.04.2008,оригинальная идея,Фукуяма Дзюн,"Прошел год с провала Черного Восстания и исчезновения (предполагаемой смерти) Zero. Британия присвоила зоне 11 статус исправительной территории, где с помощью грубой силы подавлялись любые непослушные мысли. Лелуш пребывает в забвение относительно своего прошлого как Zero. Однако с помощью таинственной девушки C.C. он заново открывает самого себя и свою забытую цель. Уничтожая своих противников и восстановив образ Zero, Лелуш намерен довести до конца, то что начал.
текст добавлен
DartRevan
=================
Уже год прошел с провала печально знаменитого Черного Восстания, организованного таинственным человеком в маске, называвшего себя Зеро. Уцелевшие ""Черные рыцари"" бежали или попали в плен, Зеро исчез, Британская Империя, подчинившая треть мира, продолжает вести войны, а жители Японии, захваченной Британией и переименованной в Зону 11, подвергаются всё более жестокому преследованию.
Но всё это мало волнует обычного британского школьника по имени Лелуш, бесцельно проводящего дни, и самое опасное развлечение которого - лишь подпольные шахматные турниры.
Но не фальшивка ли весь этот мир? Может ли этот школьник быть человеком, способным противостоять целой стране? Награда или проклятие Гиасс - сила Короля? Сможет ли Лелуш противостоять всем врагам, своему отцу - императору Британии, и даже самой сути мироздания?
Вы узнаете все ответы в блистательном втором сезоне ""Код Гиасс"" - одного из лучших аниме всех времен!
текст добавлен
ExtraNeous
В ролях:
Фукуяма Дзюн
(озв.
Лелуш Ламперуж
),
Мидзусима Такахиро
(озв.
Роло Ламперуж
),
Сакурай Такахиро
(озв.
Судзаку Куруруги
),
Ногами Юкана
(озв.
Си. Си.
),
Хоси Сойтиро
(озв.
Джино Вайнберг
),
Гото Юко
(озв.
Аня Альстрейм
),
Мидорикава Хикару
(озв.
Ли Синкэ
)... и еще
54 чел.",http://www.world-art.ru/animation/animation.php?id=6804
Стальной алхимик [ТВ-2],9.1,64,25,"приключения, фэнтези, драма",05.04.2009,манга,Пак Роми,"Нарушив главный запрет Алхимии и попытавшись воскресить маму, талантливые братья Элрики заплатили высокую цену: младший, Альфонс, потерял тело, и теперь его душа прикреплена к стальным доспехам, а старший, Эдвард, лишился руки и ноги, поэтому ему приходится пользоваться протезами – автобронёй. Благодаря проявленным способностям Эд получил звание государственного алхимика и, таким образом, стал частью военной машины государства. Теперь у него есть шанс вернуть Алу прежнее тело. Впереди странствия и приключения, разгадки страшных тайн и бесконечные сражения…
По сравнению с первой экранизацией, в обновлённом «Стальном Алхимике» даже дизайн персонажей стал более «взрослым». В целом это более динамичное произведение. С первой же серии героев бросает в самую гущу событий: резня в Иштваре, борьба отступников с Армией и фюрером Брэдли, гомункулы и многочисленные «намёки» на дальнейшее развитие истории.
Почти полностью сохранился ансамбль сэйю, и остались прежними характеры героев, но здесь уже иной состав эпизодов, которые играют ключевую роль в формировании образов и объясняют суть происходящего. Вновь серьёзную атмосферу разбавляют юмористические вставки, но сократились светлые моменты счастливой жизни, поэтому сериал кажется более мрачным. Больше внимания уделено второстепенным и третьестепенным персонажам, особенно военным. Что касается сюжета, то основные темы остались неизменными: поиски Философского Камня, расплата за совершённое, политика и коварные планы загадочных врагов.
автор Расселл Д. Джонс (редакционный текст)
В ролях:
Пак Роми
(озв.
Эдвард Эльрик
),
Кугимия Риэ
(озв.
Альфонс Эльрик
),
Такамото Мэгуми
(озв.
Уинри Рокбелл
),
Мики Синъитиро
(озв.
Рой Мустанг
),
Орикаса Фумико
(озв.
Риза Хоукай
),
Уцуми Кэндзи
(озв.
Алекс Луи Армстронг
),
Фудзивара Кэйдзи
(озв.
Маэс Хьюз
)... и еще
31 чел.",http://www.world-art.ru/animation/animation.php?id=7116
Унесённые призраками,9.1,1,125,"приключения, фэнтези, драма",20.07.2001,оригинальная идея,Хиираги Руми,"Маленькая Тихиро вместе с мамой и папой переезжают в новый дом. Заблудившись по дороге, они оказываются в странном пустынном городе, где их ждет великолепный пир. Родители с жадностью набрасываются на еду и к ужасу девочки превращаются в свиней, став пленниками злой колдуньи Юбабы, властительницы таинственного мира древних богов и могущественных духов. Теперь, оказавшись одна среди магических существ и загадочных видений, отважная Тихиро должна придумать, как избавить своих родителей от чар коварной старухи и спастись из пугающего царства призраков...
В ролях:
Хиираги Руми
(озв.
Тихиро Огино (Сэн)
),
Ирино Мию
(озв.
Хаку
),
Нацуки Мари
(озв.
Юбаба
),
Найто Такаси
(озв.
Акио Огино
),
Савагути Ясуко
(озв.
Юко Огино
),
Камики Рюносукэ
(озв.
Бо
),
Тамай Юми
(озв.
Рин
)... и еще
9 чел.",http://www.world-art.ru/animation/animation.php?id=87
Врата Штейна [ТВ],9.1,24,25,"триллер, фантастика, драма",06.04.2011,видеоигра,Мияно Мамору,"Акихабара – интереснейшее место, где обитают самые разные люди – от слегка сдвинутых по фазе до больных на всю голову. Именно такая компания собралась в «Лаборатории проблем времени», что над лавкой старых телевизоров. Возглавляет ее «настоящий буйный», 18-летний
Ринтаро Окабэ
, сумасшедший ученый и борец с мировым заговором. В серьезном деле нельзя без хакера – вот и он,
Итару Хасида
, конечно же, толстяк и истинный отаку. Добрая фея лаборатории –
Маюри Сиина
, подруга детства Ринтаро, официантка мейд-кафе и фанатка косплея, а научную мощь бригады резко повысила юный гений
Курису Макисэ
, стосковавшаяся по интеллектуальным приключениям и простому человеческому теплу.
Конечно же, ребятам удалось построить машину времени из микроволновки и барахла с ближайшей распродажи. Великие открытия делают любители – профессионалы строят «Титаники». Вот только потом началось такое, что «парадокс дедушки» нервно удалился курить в сторонку, а главный герой трижды проклял тот день, когда сдуру открыл «врата Штейна». Он был готов рисковать своей жизнью, но не чужими… Впрочем, сделанного, как известно, не воротишь. Или… все же можно?
автор Hollow (редакционный текст)
В ролях:
Мияно Мамору
(озв.
Ринтаро Окабэ
),
Имай Асами
(озв.
Курису Макисэ
),
Ханадзава Кана
(озв.
Маюри Сиина
),
Сэки Томокадзу
(озв.
Итару Хасида
),
Тамура Юкари
(озв.
Судзуха Аманэ
),
Момой Харуко
(озв.
Фейрис Нян-Нян
),
Кобаяси Ю
(озв.
Рука Урусибара
)",http://www.world-art.ru/animation/animation.php?id=8026
Кланнад [ТВ-2],9.1,22,25,"романтика, драма, повседневность",03.10.2008,видеоигра,Накамура Юйти,"Сериал берет новый старт там, где окончился первый сезон. Миновали летние каникулы, подходит к концу последний школьный год большинства основных героев.
Томоя Окадзаки
сделал выбор и теперь живет у своей девушки,
Нагисы Фурукавы
, семью которой до сих пор считает чудом – ведь это то, чего он был так долго лишен в детстве и юности. Поняв себя, Томоя открылся миру, и теперь вокруг него не только любимая и ее близкие, но и все, кому он помог, принес добро и подарил частичку счастья.
Главные герои познали искусство жить большой и дружной семьей, любить и помогать друг другу. А теперь их ждут новые испытания – ведь свет не бывает без тени, добро без зла, счастье без потерь. Если первый сезон «Кланнада» символизирует весну и расцвет новой жизни, то второй сезон говорит об осени, с ее пышной красотой и неизбежным увяданием, ибо так велит круговорот времен. Но в совместных творениях Key и Kyoto Animation с каждым годом все сильнее звучит простой мотив: магия веры, дружбы и любви может одолеть боль утрат и повернуть вспять само время!
автор Hollow (редакционный текст)
В ролях:
Накамура Юйти
(озв.
Томоя Окадзаки
),
Накахара Май
(озв.
Нагиса Фурукава
),
Хирохаси Рё
(озв.
Кё Фудзибаяси
),
Канда Акэми
(озв.
Рё Фудзибаяси
),
Кувасима Хоко
(озв.
Томоё Сакагами
),
Нонака Ай
(озв.
Фуко Ибуки
),
Ното Мамико
(озв.
Котоми Итиносэ
)... и еще
11 чел.",http://www.world-art.ru/animation/animation.php?id=6888
Бек,9.0,26,25,"комедия, повседневность, музыкальный",07.10.2004,манга,Намикава Дайсукэ,"В начале была Песня – так верят многие народы, и не зря музыка все так же объединяет нас спустя тысячелетия после начала писаной и неписаной истории. Бек – это аниме про молодых людей, ищущих свой жизненный путь, и про уже состоявшихся людей, которым музыка помогла и помогает в жизни. Бек – это аниме про универсальный язык, на котором могут разговаривать разные поколения. А еще это аниме про современное общество, в котором всплески таланта и искренние порывы души рано или поздно становятся частью глобальной индустрии развлечений. Можно спорить – хорошо это или плохо, но таков мир, в котором мы живем.
А вообще-то, Бек – это рассказ о простом японском парне, 14-летнем Юкио Танаке, который волею судьбы встретился с молодым гитаристом Рюскэ Минами и, благодаря таланту, силе духа, простому и открытому характеру, нашел свое место в жизни, обрел друзей и встретил любовь. Это рассказ о поиске путей самовыражения, на которых искренность и честность приносят радость, а злоба и лицемерие заводят в тупик.  А еще это рассказ о встрече непростых людей, которые сумели создать и сохранить рок-группу, то самое целое, которое куда больше суммы слагаемых. Именно так и рождается настоящая музыка. Именно так вышло одно из лучших музыкальных аниме всех времен!
автор Hollow (редакционный текст)
В ролях:
Намикава Дайсукэ
(озв.
Юкио Танака
),
Нара Тору
(озв.
Юдзи Сакурай
),
Уэно Юма
(озв.
Рюсукэ Минами
),
Окитэ Порше
(озв.
Кэнъити Сайто
),
Охата Синтаро
(озв.
Цунэми Тиба
),
Сайки Михо
(озв.
Махо Минами
),
Нодзима Кэндзи
(озв.
Ёсиюки Тайра
)",http://www.world-art.ru/animation/animation.php?id=2671
Брошенный кролик,9.0,11,25,"комедия, драма, повседневность",08.07.2011,манга,Цутида Хироси,"30-летний Дайкити Кавати, холостяк и работоголик, жил-поживал, как обычно, когда пришло известие о смерти деда по матери. Хотя старика он не видел давным-давно, но семья – дело святое, пришлось Дайкити явиться на похороны и отсидеть все положенные церемонии. Тут и выяснилось, что дед Сойти был мужик не промах и в преклонные уже года прижил внебрачную дочку, мать которой после смерти сожителя исчезла по-английски. 6-летняя девочка осталась одна-одинешенька, и дедова родня, особо не сговариваясь, решила отослать «отродье» в приют. Тут и защемило у Дайкити в груди, жалко стало одинокую душу, и он во всеуслышание объявил, что Рин будет жить с ним. Вот так главный герой стал опекуном собственной тети!
Сказать легко, а внезапно освоить нелегкое ремесло родителя-одиночки взрослому мужчине куда труднее. Хорошо, что малышка оказалась молодцом – не избалованной, самостоятельной, привыкшей решать собственные проблемы. Конечно, героям довелось немало пережить и долго притираться друг к другу. Рин пришлось быстрее взрослеть, а Дайкити – бросить многие холостяцкие привычки и больше времени уделять новой семье. Но оно того стоит – иначе как из «брошенного крольчонка» вырастет сильная, независимая и уверенная в себе девушка? Мораль произведения проста и известна с давних пор: не надо бояться делать добро – все вернется сполна!
автор Hollow (редакционный текст)
В ролях:
Цутида Хироси
(озв.
Дайкити Кавати
),
Мацуура Аю
(озв.
Рин Кага
),
Охара Саяка
(озв.
Мама Коки
),
Сакай Ноа
(озв.
Коки
),
Уэда Кана
(озв.
Харуко Маэда
),
Судо Нанако
(озв.
Рэйна Маэда
),
Сакамото Маая
(озв.
Масако
)",http://www.world-art.ru/animation/animation.php?id=2569
Тетрадь смерти [ТВ],9.0,37,25,"мистика, триллер, детектив",04.10.2006,манга,Мияно Мамору,"У старшеклассника
Лайта Ягами
в жизни есть всё: успехи в школе, популярность среди сверстниц, замечательные родители, блестящее будущее. Возможно, поэтому так тяжело ему жить в мире, полном несправедливости, и осознавать, что никакие законы не способны исправить людей – и очистить мир от зла. Но однажды юноша находит странную чёрную тетрадку и знакомится с её владельцем –
синигами
Рюком
.
Возможности «Тетради смерти» позволяют Лайту стать Кирой – загадочным и всеведущим убийцей, карающим преступников. Более того – изучив правила использования тетради, юноша успешно избегает ловушек, расставленных спецслужбами. Никто не может его поймать.
У таинственного
«L»
никогда не было поражений: сохраняя инкогнито, он успешно распутывал самые трудные дела и помогал полиции. Появление Киры стало вызовом для его экстраординарных способностей.
Итак, два весьма умных и одарённых молодых человека сталкиваются в смертельном противостоянии, и теперь каждая мелочь, каждая случайность может склонить весы на ту или другую сторону. На стороне Лайта – могущественная «Тетрадь Смерти». У «L» есть поддержка полиции и опыт. И никто не собирается проигрывать или сдаваться…
автор Расселл Д. Джонс (редакционный текст)
В ролях:
Мияно Мамору
(озв.
Лайт Ягами
),
Ямагути Каппэй
(озв.
Эл
),
Накамура Сидо
(озв.
Рюк
),
Хирано Ая
(озв.
Миса Аманэ
),
Кудо Харука
(озв.
Саю Ягами
),
Сасаки Нодзому
(озв.
Мэлло
),
Хидака Норико
(озв.
Ниа
)... и еще
18 чел.",http://www.world-art.ru/animation/animation.php?id=5891
Твоё имя,9.0,1,110,"романтика, драма",03.07.2016,оригинальная идея,Камики Рюносукэ,"В размеренном спокойствии проходит её жизнь в провинциальной глубинке. Она - примерная дочь, заботливая сестра, усердная служительница в местном храме. В суматошной круговерти проходит один за другим его дни в многомиллионной столице. Он - талантливый художник, трудолюбивый работник и надёжный друг.
Их разделяют тысячи причин и сотни километров. Но судьба по своему разумению связала жизни Мицухи Миямидзу и Таки Татибаны друг с другом. Иногда во сне они непонятным для них образом меняются телами. Так странно для них переживать эти метаморфозы. Почему это происходит, а главное, как это всё прекратить - школьникам было неизвестно. Но с каждым днём сны становились всё чаще и реалистичнее. А значит, им всё чаще приходилось просыпаться в другой жизни и с чужим именем… Именем, которого раньше даже никогда не знал.
автор Dreamfighter (редакционный текст)
В ролях:
Камики Рюносукэ
(озв.
Таки Татибана
),
Камисирайси Монэ
(озв.
Мицуха Миямидзу
),
Нагасава Масами
(озв.
Мики Окудэра
),
Итихара Эцуко
(озв.
Хитоха Миямидзу
),
Нарита Рё
(озв.
Кацухико Тэсигавара
),
Юки Аой
(озв.
Саяка Натори
),
Симадзаки Нобунага
(озв.
Цукаса Фудзии
)",http://www.world-art.ru/animation/animation.php?id=8593
